(actor)--[movie#@year]-->(actor)--...
(Slavka Jerinic)--[Truckers#@1973]-->(Pavle Vuisic)--[The Last Mission of Demolitions Man Cloud#@1978]-->(Predrag 'Miki' Manojlovic)--[Gate to Heaven#@2003]-->(Udo Kier)--[The Invincible#@1985]-->(Piero von Arnim)--[40 Days#@1979]-->(Annelisa Weiland)--[Die Sonvreter#@1973]-->(Sarel Bruwer)
(Kazuko Fujishima)--[Sukedachi tsumagoizaka#@1930]-->(Mitsusaburo Ramon)--[Meigetsu somato#@1951]-->(Mitsuko Mito)--[The Treasure of Gen. Yamashita#@1956]-->(Leopoldo Salcedo)--[Ngayon lamang ako dumalangin#@1968]-->(Jose Garcia)--[Fonzy#@2013]-->(Lucien Jean-Baptiste)--[No Way#@2004]-->(Mata Gabin)
(Carol Wines)--[The Prince of Pep#@1925]-->(Nola Luxford)--[The Meddlin' Stranger#@1927]-->(Boris Karloff)--[Cauldron of Blood#@1970]-->(Viveca Lindfors)--[Exiled in America#@1992]-->(Maxwell Caulfield)--[Dog Lover's Symphony#@2006]-->(Jesse Bernstein)--[Far Marfa#@2013]-->(Johnny Sneed)--[Bar Flies#@2001]-->(Mike Madrigal)
(Michael Daly)--[The Lunatics' Ball#@1999]-->(Jeremy Birchall)--[Crackheads#@2013]-->(Alvin Maharaj)--[Love Birds#@2011]-->(Rhys Darby)--[Mosley#@2019]-->(John Rhys-Davies)--[Delta Force One: The Lost Patrol#@2000]-->(Bentley Mitchum)--[Little John#@2002]-->(Anupam Kher)--[Pyar Hua Chori Chori#@1992]-->(Gautami)--[Kabirdas#@2003]-->(Vijayachander)
(Mohamed Hamaidi)--[Far#@2001]-->(Lubna Azabal)--[Coriolanus#@2011]-->(Brian Cox)--[Hidden Agenda#@1990]-->(Brad Dourif)--[Blood Shot#@2013]-->(Michael Bailey Smith)--[Bad Guys#@2000]-->(Tim Colceri)--[The Fireball Run: Southern Excursion#@2012]-->(Winston Scott)
(Yareli Arizmendi)--[Great Day in Havana#@2001]-->(Jorge Perugorria)--[Tanger#@2003]-->(Ana Fernandez)--[Malefemmene#@2001]-->(Giovanna Mezzogiorno)--[Night Bus#@2007]-->(Mohammad Reza Forutan)--[Negar#@2017]-->(Alireza Shoja Nori)
(Azelarab Alkaghat)--[Les coeurs brules#@2007]-->(Rafik Boubker)--[Jailbreak#@2002]-->(Fabrizio Bentivoglio)--[Our Land#@2006]-->(Emilio Solfrizzi)--[Se sei cosi ti dico si#@2011]-->(Francesca Faiella)--[Bloodline#@2010]-->(Marco Benevento)
(Stanislav Fiser)--[Dead, Read It!#@1963]-->(Radoslav Brzobohaty)--[Bloodlines#@2004]-->(Rudolf Martin)--[Raven#@2010]-->(Steven Bauer)--[Pit Fighter#@2005]-->(Fernando Carrillo)--[Secretos de familia#@2009]-->(Vanessa Ciangherotti)
(Paolo Carascon)--[Draw the Line#@2014]-->(Roy Rodriguez)--[Mananayaw#@1997]-->(Eddie Gutierrez)--[Divina bastarda#@1971]-->(Jose Garcia)--[La mort du Chinois#@1998]-->(Francois Berleand)--[La difference, c'est que c'est pas pareil#@2009]-->(Alexandra Ansidei)
(Akemi Mari)--[Yoru no tehaishi#@1968]-->(Tamaki Sawa)--[Boruneo taisho: Akamichi ni tokero#@1969]-->(Komaki Kurihara)--[Message from the Future#@1989]-->(Elena Yakovleva)--[V stile jazz#@2010]-->(Michal Zebrowski)--[The Vulture#@2013]-->(Andrzej Seweryn)
(Rodney Afif)--[Love's Brother#@2004]-->(Giovanni Ribisi)--[First Love, Last Rites#@1997]-->(Natasha Gregson Wagner)--[Glam#@1997]-->(William McNamara)--[Opus of an Angel#@2017]-->(Jamison Newlander)
(Chris Gerson)--[The Language of Kickball#@1999]-->(Amanda Melby)--[Raising Buchanan#@2019]-->(Rene Auberjonois)--[Eyes of Laura Mars#@1978]-->(Tommy Lee Jones)--[The Missing#@2003]-->(Tien Miao)--[The Seisure Soul Sword of a Blind Girl#@1970]-->(You Min Ko)--[Liu mang zhi zhao#@1989]-->(Yu-Fei Hsiao)--[Thunder Cat Woman#@1985]-->(Hsiang-Meng Chung)
(Filippo Scelzo)--[Trial and Death of Socrates#@1939]-->(Rossano Brazzi)--[The Final Conflict#@1981]-->(Sam Neill)--[The Zookeeper#@2001]-->(Om Puri)--[Na Ghar Ke Na Ghaat Ke#@2010]-->(Ravi Kishan)--[Kehu Hamse Jeet Na Payi#@2011]-->(Rajiv Dinkar)
